base_ym,nonlocal_visitors_sum
201901,878188.5
201902,1095965.5
201903,1145508.0
201904,1130164.0
201905,1501909.5
201906,1052495.5
201907,1190500.5
201908,1561241.5
201909,1235510.5
201910,1209026.0
201911,1253826.0
201912,939001.0
202001,1132327.0
202002,744096.5
202003,846947.5
202004,939886.5
202005,1245968.5
202006,1006285.0
202007,1113686.0
202008,1361860.5
202009,967858.5
202010,1342178.6
202011,1008485.1000000001
202012,763423.5
202101,744201.5
202102,959668.5
202103,1056097.0
202104,1083124.0
202105,1248058.0
202106,1049583.5
202107,1194830.0
202108,1380172.5
202109,1321295.5
202110,1260497.0
202111,1175772.5
202112,920395.0
202201,1067157.0
202202,853265.0
202203,940740.5
202204,1206768.5
202205,1393430.5
202206,1137640.0
202207,1758127.0
202208,1519700.0
202209,1419159.0
202210,1490664.0
202211,1256741.5
202212,908992.0
202301,1209568.5
202302,946907.5
202303,1314159.0
202304,1359508.5
202305,1574335.0
202306,1223642.0
202307,1280370.0
202308,1525748.0
202309,1409481.5
202310,1468131.0
