base_ym,sales_est_krw_sum_or_blank
201901,20886096852.0
201902,20740359046.0
201903,23233278674.0
201904,22920950661.0
201905,27383439139.0
201906,23364065623.0
201907,24880472484.0
201908,28014769409.0
201909,22860812650.0
201910,23683583320.0
201911,24099280847.0
201912,21825521293.0
202001,
202002,
202003,
202004,
202005,
202006,
202007,
202008,
202009,
202010,
202011,
202012,
202101,
202102,
202103,
202104,
202105,
202106,
202107,
202108,
202109,
202110,
202111,
202112,
202201,21902565708.0
202202,16947361999.0
202203,21047120237.0
202204,25310033695.0
202205,29447844843.0
202206,25938632717.0
202207,27052107477.0
202208,28565962127.0
202209,25031550627.0
202210,28352525893.0
202211,24390648017.0
202212,21717944077.0
202301,22241488000.0
202302,20496675280.0
202303,25679134899.0
202304,26691615132.0
202305,28680714270.0
202306,25409152305.0
202307,25238708177.0
202308,28581540720.0
202309,27371373228.0
202310,26804937661.0
202311,24074578833.0
202312,21725443426.0
