번호,시군명,시설명,전화번호,도로명주소,지번주소,데이터기준일자
1,전북특별자치도 남원시,남원사회복지관,063-632-5252,전북특별자치도 남원시 노송로 1255-9 (노암동),전북특별자치도 남원시 노암동 275,2025-11-07
2,전북특별자치도 남원시,남원수어통역센터,063-632-7008,"전북특별자치도 남원시 붕맛1길 10, 2층 (향교동)",전북특별자치도 남원시 향교동 324-2,2025-11-07
3,전북특별자치도 남원시,남원시장애인종합복지관,063-635-1544,전북특별자치도 남원시 이백면 닭뫼안길 87,전북특별자치도 남원시 이백면 남계리 343-3,2025-11-07
4,전북특별자치도 남원시,남원지역자활센터,063-632-4747,"전북특별자치도 남원시 교룡로 58-55, 4층 (신정동, 전북빌딩 4층)",전북특별자치도 남원시 신정동 899,2025-11-07
5,전북특별자치도 남원시,사랑과행복이가득한우리집,063-636-6204,전북특별자치도 남원시 이백면 초촌길 75-9,전북특별자치도 남원시 이백면 척문리 643-1,2025-11-07
6,전북특별자치도 남원시,스마일빌,063-626-8666,전북특별자치도 남원시 대산면 대곡신계길 397,전북특별자치도 남원시 대산면 신계리 429-27,2025-11-07
7,전북특별자치도 남원시,남원시장애인부모회,063-636-6200,"전북특별자치도 남원시 붕맛1길 10, 1층(향교동)",전북특별자치도 남원시 향교동 324-2,2025-11-07
8,전북특별자치도 남원시,남원시장애인공동생활가정,063-635-1544,"전북특별자치도 남원시 오들1길 82, 306-502(부영3차아파트)",전북특별자치도 남원시 월락동 642,2025-11-07
9,전북특별자치도 남원시,장애인생활이동지원센터,063-636-1120,"전북특별자치도 남원시 붕맛1길 10, 1층 (향교동)",전북특별자치도 남원시 향교동 324-2,2025-11-07
10,전북특별자치도 남원시,편한세상,063-634-9988,전북특별자치도 남원시 대산면 대곡신계길 369,전북특별자치도 남원시 대사면 신계리 431-2,2025-11-07
11,전북특별자치도 남원시,평화의집,063-635-5004,전북특별자치도 남원시 주천면 웅치윗길 27,전북특별자치도 남원시 주천면 송치리 6-14,2025-11-07
